,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum_scores
RNA_pol_A_bac,.,0.8772681569471075,0.7059688581314836,0.5256228342262054,0.6262626262626263,0.6564885496183206,0.7279167856712213
Isochorismatase,.,0.987039938268718,0.8153114186851134,0.5438731231812699,0.5076142131979695,0.5377358490566038,0.7279023376145778
GAF,.,0.9342585231258476,0.5092128027681586,0.6246112195814525,0.6793893129770993,0.6395348837209303,0.7260933798763975
START,.,0.8658455314969836,0.6813581314878823,0.5642973706738033,0.521978021978022,0.7522123893805309,0.7255724908584402
DSBA,.,0.778322733012206,0.7198096885813065,0.7131038835658283,0.5677083333333334,0.6017699115044248,0.7236015218290023
cat3,.,0.8826462610484964,0.5668685121107179,0.4781559016623642,0.6217616580310881,0.8287671232876712,0.7226054847259967
ptpase,.,0.6951842585231258,0.8222750865051874,0.8305960620296406,0.5,0.5258620689655172,0.7209097185583583
Ala_racemase_N,.,0.8063064116354114,0.8171280276816549,0.6850429297522953,0.5743589743589743,0.4827586206896552,0.7176138055148831
dNK,.,0.7608497404480195,0.6926038062283656,0.9031638100168631,0.46938775510204084,0.5205479452054794,0.7100727565199312
HSP20,.,0.8642145629705841,0.4015138408304451,0.4659074143823473,0.6956521739130435,0.9176470588235294,0.7094319875541719
CBD_6,.,0.8929231164944114,0.6412197231833867,0.28181755326753366,0.6381578947368421,0.8888888888888888,0.7086685033699689
Cys-protease-3C,.,0.9028550717859982,0.6983564013840762,0.45953517502767227,0.6242424242424243,0.651685393258427,0.7061605989533505
tRNA-synt_2b,.,0.7874830472805499,0.780320069204149,0.6342535001622984,0.5634517766497462,0.5692307692307692,0.7053941727785245
tyrosinase,.,0.7472291072347191,0.8001730103806171,0.7038542676985017,0.5472636815920398,0.5319148936170213,0.7036896062137815
Spermine_synth,.,0.7792229808726558,0.8378027681660883,0.6764660392255253,0.572139303482587,0.46017699115044247,0.7018572524136341
VAT-N,.,0.9177734649020249,0.6650086505190245,0.4057088368052468,0.6666666666666666,0.6694915254237288,0.7013982851177275
Rhodanese,.,0.9952240097273535,0.42560553633217535,0.2843624713367298,0.7703703703703704,0.8461538461538461,0.7002367827083565
ENTH,.,0.5997579853154374,0.7610726643598568,1.0,0.48936170212765956,0.4696969696969697,0.6995132818537385
msb,.,0.890725108731235,0.46587370242213866,0.3711459923819547,0.75,0.8405797101449275,0.6988935806671319
SCP,.,0.8441694336622549,0.45077854671279594,0.5474723177875961,0.753731343283582,0.7195121951219512,0.6978398891257127
TNF,.,0.9067775803208156,0.6244377162629725,0.3547494380534716,0.678082191780822,0.75,0.6971995541746352
COX3,.,0.47472291072347195,0.6978806228373644,0.888235283629443,0.5404040404040404,0.7122302158273381,0.6969722947128968
ATP-gua_Ptrans,.,0.6971192068465604,0.8442041522491335,0.6265272285586422,0.58,0.5590551181102362,0.6943714606176
ATP-synt_g,.,0.6676448580648179,0.7071366782006865,0.676045735678558,0.6307692307692307,0.6201550387596899,0.6923302887322614
ech,.,0.8225050273581818,0.710294117647054,0.5314122227686691,0.61,0.6212121212121212,0.6898242291473151
NHase_alpha,.,0.7786384043398962,0.5615916955017232,0.6727969164377898,0.5730337078651685,0.7037037037037037,0.687583106078998
Haloperoxidase,.,0.7555651685918721,0.7694204152249109,0.7110884520996475,0.5728643216080402,0.48031496062992124,0.6873806944602623
DUF28,.,0.7633634195388861,0.7536332179930721,0.6298954939467597,0.515,0.6214285714285714,0.6850312374457317
ghf33,.,0.8547678062011879,0.8573096885813116,0.5454087599610754,0.581151832460733,0.4444444444444444,0.6849369159516311
Cu_nir,.,0.8813543469110976,0.8502595155709283,0.5225788902543536,0.5252525252525253,0.5,0.6834964768250706
PGAM,.,0.8264684562502923,0.6833044982698901,0.6220300231273738,0.5847953216374269,0.5607476635514018,0.6826650979971234
AP_endonucleas1,.,0.8229317682270963,0.7215397923875356,0.7272504049173659,0.52046783625731,0.4818181818181818,0.6813431786770537
dCMP_cyt_deam,.,0.9296754431090118,0.48378027681660224,0.3204498003671703,0.6412213740458015,0.8953488372093024,0.6799443226864222
dhfr,.,0.9427991862694665,0.6150086505190253,0.6002930276853314,0.51875,0.5909090909090909,0.6788688106070219
Clp_N,.,0.7831688724687835,0.462716262975773,0.5975558167811873,0.5314685314685315,0.8863636363636364,0.676299869234349
Jacalin,.,0.8449293831548426,0.5557525951557015,0.43062959392624844,0.5488721804511278,0.8765432098765432,0.674499482530128
CH,.,0.7589381751858953,0.38083910034601604,0.5302612876258928,0.6851851851851852,0.9014084507042254,0.6744619539190436
Recep_L_domain,.,0.9126116541177572,0.6304065743944572,0.4138221293885992,0.5683453237410072,0.7272727272727273,0.6728090335633605
proteasome,.,0.9128162559042229,0.6315743944636625,0.6344992345178646,0.543010752688172,0.5267175572519084,0.6712882172703362
Topoisom_bac,.,0.8107725763456951,0.7155709342560493,0.5356940772333088,0.5771144278606966,0.6056338028169014,0.6697705049232028
Ribosomal_L5_NC,.,0.8736379366786698,0.6381487889273285,0.5531336786148425,0.5163398692810458,0.6601941747572816,0.6684512029148909
Topoisomerase_I,.,0.7739267174858532,0.5861159169550094,0.706730871096931,0.5444444444444444,0.6268656716417911,0.6671162752391812
ribonuclease_T2,.,0.7769782069868586,0.6050173010380533,0.6640287187967053,0.6123595505617978,0.578125,0.6664925993907078
intb,.,0.9417527942758266,0.4376297577854612,0.5087454801628578,0.6984126984126984,0.6493506493506493,0.666248095309087
Fimbrial,.,0.9199305523079081,0.640830449826983,0.37515507282110233,0.5769230769230769,0.71875,0.6645443104542744
DAP_epimerase,.,0.9264719637094888,0.5522491349480905,0.43152122655885666,0.6884057971014492,0.6292134831460674,0.6630681132449131
Ribosomal_L4,.,0.8341439461254269,0.5612889273356331,0.5396178251901671,0.7027027027027027,0.5887850467289719,0.6625441113906285
Sua5_yciO_yrdC,.,0.8721121919281671,0.6378892733563941,0.6492939734891112,0.5086705202312138,0.5565217391304348,0.6617319655411664
fibrinogen_C,.,0.8363068792966375,0.7732266435986125,0.48193898148647046,0.5721925133689839,0.5583333333333333,0.6607461247866869
MIF,.,0.9012241032595988,0.4626297577854612,0.45257069152298474,0.5043478260869565,0.8987341772151899,0.659759314501492
Peptidase_M24,.,0.8350149651592387,0.8176903114186822,0.47825934434531137,0.5347593582887701,0.5514018691588785,0.6588164975985196
ricin,.,0.83676284899219,0.6479671280276754,0.5723218710887216,0.5828877005347594,0.5757575757575758,0.658250688859332
ISP,.,0.888725856989197,0.5068339100345961,0.43079473112413724,0.5365853658536586,0.85,0.657158748034539
dutpase,.,0.8142683440115981,0.441868512110721,0.33870385825406873,0.6410256410256411,0.9746835443037974,0.6562122652195782
Ald_Xan_dh_1,.,0.8349272786793247,0.5535467128027589,0.5592665231505743,0.6148648648648649,0.6470588235294118,0.6558615082282184
PBP,.,0.9425419725950521,0.7670415224913473,0.26012856821869784,0.6071428571428571,0.631578947368421,0.6553742661654396
RuBisCO_small,.,0.8924554552682038,0.3970155709342506,0.4313084655248726,0.6178861788617886,0.8673469387755102,0.6544153901189551
Dala_Dala_ligas_C,.,0.8732579619323761,0.6004325259515514,0.5956580146439334,0.5380434782608695,0.5954198473282443,0.6531478044689427
Pro_CA,.,0.7316735256979844,0.5849913494809625,0.6347294679332732,0.5771144278606966,0.6688311688311688,0.6509808062996744
Levi_coat,.,0.8336821306645467,0.4116349480968812,0.4273404954344972,0.5882352941176471,0.9345794392523364,0.6502411794269067
TyrKc,.,0.7499298508160689,0.6785034602076053,0.7558014358364312,0.5323383084577115,0.4788732394366197,0.6502308777336676
C2,.,0.8341381003600992,0.5425605536332102,0.41985582202531774,0.5476190476190477,0.85,0.6497268300407674
DNA_PPF,.,0.8755027358181733,0.3142733564013815,0.4309908702023412,0.6727272727272727,0.8947368421052632,0.6473734796620452
PA_phosphatase,.,0.8498398260300237,0.7773788927335569,0.5966728816835803,0.5223880597014925,0.44,0.646600671985079
Hint,.,0.9177033157180938,0.6509515570934207,0.27014352851041584,0.6549295774647887,0.6904761904761905,0.6457787281345173
DUF50,.,0.8463499041294487,0.41280276816608463,0.41599860054729043,0.7264957264957265,0.7792207792207793,0.6444574379083273
MurB_C,.,0.9262439788617126,0.4339532871972272,0.52820631136724,0.6344827586206897,0.65625,0.6437717454124013
aakinase,.,0.7993908712528643,0.6641868512110675,0.6014235912683494,0.5454545454545454,0.5683453237410072,0.6436390167904255
ldh,.,0.792802693728663,0.7402249134948042,0.6277240093748024,0.4925373134328358,0.5241935483870968,0.6431167783793369
Desulfoferrodox,.,0.8757073376046391,0.432396193771621,0.44142872397367144,0.6333333333333333,0.788235294117647,0.6405895144388236
adeno_fiber,.,0.8925256044521349,0.6243512110726588,0.5426021233997665,0.5217391304347826,0.5882352941176471,0.639937057525483
Amino_oxidase_D2,.,0.9087826778281812,0.4168685121107217,0.40893133150674466,0.5535714285714286,0.8717948717948718,0.6361730325289627
SCP2,.,0.8989851751391292,0.3875865051903064,0.3956436627447887,0.6260162601626016,0.85,0.6354929730511848
transcript_fac2,.,0.7274002712435111,0.5611159169550113,0.7788829928782313,0.5433526011560693,0.5462184873949579,0.6349934548839006
avi,.,0.8425618481971661,0.5128460207612395,0.40043113391082935,0.6218487394957983,0.7727272727272727,0.6323974178734225
DUF101,.,0.8947820698685872,0.472880622837364,0.5141850345197192,0.6268656716417911,0.6344086021505376,0.6295092105044516
Dwarfin,.,0.8437017724360474,0.6491349480968773,0.5070916342184587,0.5388888888888889,0.6036036036036037,0.6292315369011141
CASc,.,0.8900294626572511,0.723183391003453,0.46132369746960056,0.6243093922651933,0.4434782608695652,0.6291932639784621
tRNA-synt_2d,.,0.8281461908993125,0.6508650519031065,0.5650624445082167,0.5520833333333334,0.5447761194029851,0.6286423693984544
sh2,.,0.9374503109947153,0.3343858131487859,0.34665931956893337,0.6190476190476191,0.9014084507042254,0.6278575980487332
Pep_deformylase,.,0.8395162044614881,0.589403114186845,0.45996769377935237,0.5192307692307693,0.7289719626168224,0.6271202930831576
pilin,.,0.9391806575316841,0.3621539792387499,0.330394832477479,0.6492537313432836,0.8514851485148515,0.6252901104663823
BIR,.,0.8207688350558855,0.34865916955016796,0.3254349761677152,0.7191011235955056,0.9137931034482759,0.6234243862476895
GroEL,.,0.7190291352943927,0.7143166089965322,0.64412071832613,0.4975124378109453,0.5511811023622047,0.6227918549948036
Glyco_transf_28,.,0.6582740962446804,0.7508650519031073,0.6877921625825966,0.555,0.472,0.6219092398284599
Fapy_DNA_glyco,.,0.7472407987653743,0.6305363321799238,0.7004379146057556,0.5300546448087432,0.5140845070422535,0.621284665367176
TIMP,.,0.8603738951503531,0.704195501730098,0.10993396739619803,0.6348314606741573,0.8114754098360656,0.620673219378297
mofe,.,0.5326836739465931,0.8092128027681612,0.7239294154639437,0.494949494949495,0.5581395348837209,0.6199226303533254
annexin,.,0.5058457653275967,0.6948096885813109,0.7825707477187247,0.5129533678756477,0.6222222222222222,0.6197194185317989
Hpr_kinase,.,0.9109631482953748,0.6147923875432456,0.24583525180419613,0.618421052631579,0.7252747252747253,0.6184857147288222
aminotran_4,.,0.8074521816396203,0.6867647058823472,0.5928887581552739,0.4789473684210526,0.5396825396825397,0.614703286464015
hormone,.,0.6704215965954262,0.5513840830449739,0.8028084040936997,0.44516129032258067,0.631578947368421,0.6129682140445638
phosfruc,.,0.6846034232801758,0.7453719723183325,0.7283919080666298,0.5789473684210527,0.3609022556390977,0.6117257313740468
Ribosomal_L14,.,0.8602102137211803,0.5012110726643537,0.36611723226712617,0.5967741935483871,0.7733333333333333,0.6114996484220885
RNA_dep_RNA_pol,.,0.5295152691390357,0.6548875432525866,0.7577288095926892,0.575,0.5741935483870968,0.6089964312284787
uce,.,0.8068266847495674,0.4349048442906519,0.487333076727059,0.6102941176470589,0.75,0.6082176713722334
biopterin_H,.,0.5841497918907543,0.7454584775086455,0.7096893472915047,0.5431472081218274,0.5,0.605479602764931
SRP54,.,0.6244446522938784,0.7421280276816563,0.5919886985776424,0.5852272727272727,0.5357142857142857,0.6043145450825994
STAS,.,0.8382885937426927,0.41474913494809257,0.4976436758973944,0.5894736842105263,0.7384615384615385,0.6039635453066131
B_lectin,.,0.912120609830239,0.41107266435985645,0.2137615549228872,0.6574074074074074,0.88,0.6022787051897376
cytc,.,0.8450170696347565,0.3592560553633182,0.3187979451918937,0.7019230769230769,0.8493150684931506,0.6022577076442064
NTP_transf_2,.,0.6301033531309919,0.6302768166089887,0.7276116811934588,0.515,0.569620253164557,0.6015856110440895
Extradiol_dioxy,.,0.8453268951971192,0.7199826989619329,0.5273790018379293,0.5230769230769231,0.4496124031007752,0.5987207026089052
SRP19,.,0.8523710424168732,0.34909169550172564,0.3071574349363137,0.7755102040816326,0.7792207792207793,0.5979180549673591
SAM_PNT,.,0.7923350325024552,0.2305795847750843,0.4157425064611451,0.6623376623376623,0.9622641509433962,0.5978815339912565
CUB,.,0.8642496375625497,0.4335640138408254,0.3041732333659921,0.5779816513761468,0.875,0.594598337681376
Fe-ADH,.,0.6267011177103305,0.7725778546712788,0.6771705782163306,0.5323383084577115,0.4435483870967742,0.5935558881155525
PTS_EIIA_2,.,0.8444792592246176,0.5192041522491283,0.4801738070940565,0.5571428571428572,0.6463414634146342,0.5915778651068717
Mur_ligase_C,.,0.8152036664640135,0.5377162629757715,0.359025397522166,0.5074626865671642,0.825,0.5904161190636553
CoA_trans,.,0.7978826637983445,0.7294550173010326,0.5403635325133114,0.53,0.4444444444444444,0.5895201723838825
L15,.,0.8408256558948697,0.35043252595155344,0.2829604286945422,0.7101449275362319,0.8571428571428571,0.5892670090665013
fbpase,.,0.7310071084506383,0.9030709342560519,0.32128625197216004,0.5129533678756477,0.5701754385964912,0.5880736728071062
Aldolase_II,.,0.8327994201000795,0.6836937716262903,0.4276259678610909,0.4835164835164835,0.6082474226804123,0.587040036603696
Trypan_glycop,.,0.7008312678295843,0.573788927335631,0.6120938045191996,0.59375,0.5487804878048781,0.5844110013987809
rasgap,.,0.5629179722209231,0.5723183391003394,0.8963202802322584,0.5153061224489796,0.4788732394366197,0.5830215383050933
Transpeptidase,.,0.740290183790862,0.6542387543252539,0.5894151946100757,0.533678756476684,0.506578947368421,0.5824139914667948
formyl_transf,.,0.827023803956414,0.6198961937716212,0.487211736449865,0.5370370370370371,0.5495495495495496,0.5810344361936742
leukocidin,.,0.7402551091988964,0.6632785467127952,0.5088023813696211,0.572972972972973,0.5263157894736842,0.5774331851608414
Flavoprotein,.,0.7381915540382546,0.5322231833909965,0.6757908399194572,0.5,0.5617977528089888,0.5759989969098941
DAO,.,0.6988086330262359,0.7013840830449776,0.6305917219596751,0.48717948717948717,0.4899328859060403,0.5759568128311539
Peptidase_C15,.,0.8362191928167236,0.7790657439446322,0.25549032742542155,0.5670103092783505,0.5573770491803278,0.5709137707356693
Ribosomal_L6_D,.,0.8409308796707666,0.2462802768166066,0.2999984552211445,0.68,0.9245283018867925,0.5695575043395769
EF_TS,.,0.827111490436328,0.3960640138408243,0.5309806704097668,0.6585365853658537,0.574468085106383,0.5677448761654237
alpha-amylase,.,0.746305476312959,0.5674307958477435,0.7210559045224036,0.545,0.4057971014492754,0.5671224981717278
PAN,.,0.880711312725062,0.31647923875432205,0.33411202364198755,0.5869565217391305,0.864406779661017,0.5659647614679553
RNA_pol_K,.,0.8312619838189215,0.23589965397923546,0.3418435330945,0.7710843373493976,0.8,0.5649444582333644
tms,.,0.6490260954964223,0.7982266435986091,0.5256471486684975,0.53,0.4740740740740741,0.5637106276124406
tcl1_mtcp1,.,0.800630173502315,0.4834775086505122,0.3739629693459873,0.5603448275862069,0.7558139534883721,0.5626237286205449
rnasemam,.,0.8543118365056354,0.4870242214532805,0.4240917535051513,0.5,0.7073170731707317,0.5620358122594693
Sm,.,0.8350500397512042,0.31384083044982364,0.3174045614289961,0.575,0.9298245614035088,0.5613923164635282
Ribosomal_L1,.,0.7291247720151522,0.5929498269896132,0.5628074636002482,0.49411764705882355,0.592,0.5613446813827264
THAUMATIN,.,0.7912594116821774,0.5757352941176388,0.5076183955938404,0.6162790697674418,0.4782608695652174,0.5606133564765823
Orbi_VP7,.,0.7943576673058037,0.558477508650511,0.3793235694128935,0.592,0.6419753086419753,0.5594177657936864
cah,.,0.9095367815554413,0.6330449826989565,0.3796487799105148,0.5536723163841808,0.4883720930232558,0.5586815177167748
urease_gamma,.,0.7906748351494178,0.29775086505190035,0.41706410656849974,0.5,0.9577464788732394,0.5582701804648883
glnasn,.,0.8045643735677875,0.5712802768166012,0.5447402094373193,0.6041666666666666,0.43703703703703706,0.5576968480064832
oxidored_q6,.,0.7815963615956601,0.6788062283736964,0.4803404905203899,0.4845360824742268,0.5275590551181102,0.5541522979204869
aspg,.,0.8275265397745873,0.5482698961937646,0.32691297728224633,0.518796992481203,0.7294117647058823,0.5533919132977742
GFP,.,0.7501578356638451,0.7059256055363259,0.48326920181740407,0.5397727272727273,0.4661016949152542,0.5511381000044575
NO_synthase,.,0.4992517420380676,0.8191176470588181,0.5333579579877071,0.5522388059701493,0.5384615384615384,0.55002948131327
cks,.,0.7621533461160734,0.16691176470588043,0.29737968541586074,0.828125,0.8852459016393442,0.5489950695872878
ADP_PFK_GK,.,0.4755062432773698,0.853027681660894,0.6200378623992849,0.5303030303030303,0.45901639344262296,0.5482329269555637
ung,.,0.7769723612215312,0.5631055363321728,0.5507242294852535,0.5625,0.4824561403508772,0.5473882304240587
E2_N,.,0.8256617406350839,0.4690743944636638,0.4902832032880316,0.5141242937853108,0.635036496350365,0.5467632498248736
Bac_DNA_binding,.,0.8379320020577095,0.1420415224913477,0.31331030313040376,0.7638888888888888,0.873015873015873,0.5451825052853081
il8,.,0.8176705794322593,0.20004325259515368,0.24555178947458042,0.765625,0.8979591836734694,0.5438602670948242
arginase,.,0.7795211149043633,0.692344290657434,0.45714895798046407,0.5303030303030303,0.4672131147540984,0.5437338180417295
MBD,.,0.8346817565355656,0.2586937716262946,0.2265805908350527,0.6666666666666666,0.9384615384615385,0.543161094526743
kunitz,.,0.7999520647243137,0.15229238754325083,0.19559099337199998,0.8245614035087719,0.9512195121951219,0.5425797462830448
actin,.,0.545585278024599,0.7740916955017245,0.6757698885240321,0.5175879396984925,0.41044776119402987,0.5425267589279437
Nitroreductase,.,0.7967018192021699,0.5134515570934189,0.4788643835357035,0.5068493150684932,0.625,0.5414909633347159
serpin,.,0.7165505307954917,0.5115484429065678,0.6288540317778647,0.5823529411764706,0.47794117647058826,0.5400573761677366
Ribosomal_S8,.,0.8482322405649348,0.512673010380618,0.2934775266736607,0.6293706293706294,0.6333333333333333,0.5399938607554402
Amidase,.,0.49964925408034416,0.7567906574394399,0.7726606603712652,0.5252525252525253,0.36220472440944884,0.5397843963181067
KSI,.,0.8750058457653276,0.4172145328719668,0.39562607439623076,0.44642857142857145,0.7792207792207793,0.5385717642723743
Heme_oxygenase,.,0.6088715334611607,0.5583910034602027,0.6795613952931617,0.5056179775280899,0.5531914893617021,0.5354580646949083
capsid_n,.,0.6555090492447271,0.42305363321798717,0.4806780708455684,0.6356589147286822,0.7032967032967034,0.5325128244702798
RNase_U2,.,0.7061216854510592,0.5388408304498206,0.33599900218012896,0.6267605633802817,0.6888888888888889,0.5318849679000565
cytb,.,0.8003378852359351,0.2893166089965373,0.33668222254625374,0.5465116279069767,0.9230769230769231,0.5316134133348087
zf-TAZ,.,0.7254302483281111,0.24801038062283554,0.4113189401595531,0.5517241379310345,0.9538461538461539,0.5293974988714704
TIR,.,0.8374351120048636,0.4804498269896121,0.3805791455656616,0.5524475524475524,0.6347826086956522,0.5275616847898397
transketolase_C,.,0.8303968105504372,0.5288494809688529,0.30640152250543473,0.6111111111111112,0.6067415730337079,0.5266929084885437
MATH,.,0.8301512884066782,0.5003460207612406,0.246933537868432,0.5492957746478874,0.75,0.5240102919760808
mutT,.,0.8919819482766683,0.544679930795841,0.21952458993429733,0.6413793103448275,0.5728155339805825,0.521497398657355
CAT_RBD,.,0.8194886124491418,0.20570934256055087,0.16279880278817266,0.7272727272727273,0.9545454545454546,0.5212731011688315
UreE,.,0.8475365944909509,0.44788062283736535,0.42529653605351253,0.5161290322580645,0.627906976744186,0.5192671702797014
aconitase,.,0.6224980124397886,0.6708044982698904,0.5617131977299685,0.5918367346938775,0.4117647058823529,0.5168385092431776
CBM_20,.,0.9142075480521908,0.39446366782006587,0.23856434447748975,0.5408163265306123,0.7692307692307693,0.516310018251378
fkbp,.,0.8391479212458496,0.4116782006920371,0.20539698088942338,0.6981132075471698,0.7027027027027027,0.5162135298038213
P,.,0.817962867698639,0.16980968858131285,0.1976771068059569,0.7666666666666667,0.9038461538461539,0.5157871984762107
kazal,.,0.8397734181359023,0.10173010380622691,0.17567514579206805,0.8035714285714286,0.9333333333333333,0.5150430483295078
PDZ,.,0.8739828368329983,0.3011245674740453,0.2838149905001899,0.632183908045977,0.7627118644067796,0.5149379981061237
DNA_ligase_N,.,0.6686620212318196,0.6903114186851168,0.5075204420218717,0.5112359550561798,0.46825396825396826,0.5118354040536633
RGS,.,0.7000245522143759,0.4935986159169482,0.36984524703074734,0.48484848484848486,0.7926829268292683,0.5098616298333781
icd,.,0.6451152784922602,0.4701557093425546,0.6206699219317473,0.5181347150259067,0.5838926174496645,0.5086610500887757
PARATHYROID,.,0.7512334564841229,0.033910034602075735,0.11333547186391156,0.9375,1.0,0.5078732480837854
Zn_dep_PLPC,.,0.6158221484356732,0.6272058823529334,0.6110273707609235,0.457286432160804,0.5182481751824818,0.505343070025676
TFIIS,.,0.8152270495253239,0.11816608996539643,0.16036690435435277,0.78,0.9534883720930233,0.5044157434144774
YgbB,.,0.7783753449001543,0.5291522491349412,0.35052896885808454,0.54,0.6276595744680851,0.5038089245832194
protg,.,0.824603657110789,0.20670415224913274,0.14264558015020343,0.7222222222222222,0.9285714285714286,0.5034251390544693
zf-CCHH,.,0.7739501005471635,0.039186851211072175,0.15761880220360167,0.8928571428571429,0.9583333333333334,0.5023159514900246
Peptidase_S24,.,0.8246445774680822,0.37694636678200233,0.22237751670966802,0.5288461538461539,0.8674698795180723,0.501657864502151
ACPS,.,0.8702123181966983,0.24476643598615658,0.31341908030148496,0.5408163265306123,0.85,0.5012339870052905
Ribosomal_S5_N,.,0.7901428705046064,0.21427335640138157,0.22448065798437167,0.6029411764705882,0.9811320754716981,0.4987612046314153
Colicin_Pyocin,.,0.7833033250713184,0.2670847750865023,0.4449029446659586,0.4943820224719101,0.8225806451612904,0.4984774835059621
GATA,.,0.8145021746247019,0.13079584775086345,0.234097464451592,0.696969696969697,0.9344262295081968,0.49789837819460403
HLH,.,0.7925045596969554,0.12547577854671113,0.2614666743146991,0.6615384615384615,0.9672131147540983,0.49687155792268983
OTCace,.,0.6674636393396624,0.6390570934255959,0.5734058545398444,0.5074626865671642,0.4068965517241379,0.4913617721269902
ngf,.,0.8127309077304401,0.3468858131487849,0.15971170937878731,0.6226415094339622,0.8488372093023255,0.489984133294253
hip,.,0.8539435532899968,0.2849048442906542,0.20904959768851217,0.5121951219512195,0.9298245614035088,0.48963188183112366
C1,.,0.7943635130711313,0.11120242214532725,0.15384771531386923,0.78,0.9473684210526315,0.48839010672010036
TIL,.,0.8459114717298788,0.12482698961937568,0.10525512844232188,0.75,0.96,0.48807784914086516
NMT,.,0.5607433475190572,0.6828719723183331,0.4268399426312524,0.59375,0.5211267605633803,0.48781585293867213
