,benchmark,alignment,threading,modeller,secondary_structure,access_score,sum scores
myb_DNA-binding,.,0.9933454289363428,0.6884601643444063,0.5325240475812163,0.8769230769230769,0.625,0.8089011611444341
IF3,.,0.8885851725413896,0.6927474097892092,0.5764690831022634,0.8620689655172413,0.6956521739130435,0.8085620125151705
HMG_box,.,0.9680879000202919,0.40460878885316115,0.592311776780069,0.9402985074626866,0.8,0.8038153020106273
PH,.,0.9053141076906549,0.742586638085029,0.565284374314997,0.84,0.6491228070175439,0.8024218175110445
GAF,.,0.8518567148501378,0.8790639514112178,0.6369255624774357,0.76,0.5737704918032787,0.8021006535030961
L15,.,0.8977225252754336,0.6729188996070012,0.46765786721543223,0.7866666666666666,0.875,0.8013336392781136
RRF,.,0.803681201284362,0.46087888531618343,0.9401973791978708,0.7671232876712328,0.711864406779661,0.7937967654716945
STAS,.,0.9316399489119925,0.7600928903179704,0.5930085380335692,0.8405797101449275,0.5576923076923077,0.7934567562190471
RuBisCO_small,.,0.8945414612602504,0.6016434440871731,0.634447668290766,0.819672131147541,0.7321428571428571,0.7931938460293794
RNA_pol_K,.,0.9004858135287728,0.5585923544122894,0.5325080126686671,0.896551724137931,0.7884615384615384,0.790476561010912
hpr,.,0.9438986834095277,0.6968560200071442,0.42497538812420077,0.7534246575342466,0.8541666666666666,0.7889534498439321
ANATO,.,0.909509769984602,0.7284744551625559,0.3087020605777273,0.7972972972972973,0.9259259259259259,0.787368132640277
Dehydratase_SU,.,0.8493500602790741,0.5187566988210065,0.624240517514369,0.8933333333333333,0.78125,0.785984009298479
TIL,.,0.9162478962006277,0.5741336191496955,0.35919441028093424,0.8571428571428571,0.9583333333333334,0.7851111810583988
zf-TAZ,.,0.8630053594662019,0.5727045373347617,0.633263857287106,0.875,0.7090909090909091,0.7795412999025807
WD40,.,0.5906752449956432,1.0,0.45365268590930485,0.7733333333333333,0.8333333333333334,0.7785794592608227
Skp1,.,0.8727932487436885,0.5755627009646282,0.6845644015966428,0.7972972972972973,0.7166666666666667,0.7766696470530535
CAT_RBD,.,0.9332812108335223,0.6755984280100021,0.44099816730381863,0.7735849056603774,0.8181818181818182,0.7742350196586997
S-AdoMet_syntD2,.,0.904956014180503,0.62700964630225,0.44591662662940507,0.8679245283018868,0.7954545454545454,0.7740569829665852
BAG,.,0.7729448416629862,0.3929974991068228,0.8115801737481385,0.9253731343283582,0.7368421052631579,0.773349050378472
Band_41_M,.,0.9031655466297432,0.6436227224008563,0.6906844218023476,0.8028169014084507,0.5932203389830508,0.7704553386336999
Bacteriofer,.,0.8745240340427564,0.6657734905323323,0.7217967825504937,0.8,0.5694444444444444,0.7695394446170633
transcript_fac2,.,0.8410601955190565,0.6413004644515885,0.7152458776626494,0.9066666666666666,0.5254237288135594,0.7686836573222522
PABP,.,0.9482495195578737,0.5684172918899592,0.30333215129445906,0.9285714285714286,0.8809523809523809,0.7686027347753266
cytb,.,0.9113360468863769,0.6600571632725966,0.4590579091577329,0.859375,0.7307692307692307,0.7644546742266811
NusB,.,0.860068992682956,0.6032511611289724,0.6051369057117701,0.8840579710144928,0.6666666666666666,0.7637978308930575
C1,.,0.8912589374171909,0.5209003215434077,0.44214063338590553,0.82,0.9444444444444444,0.7635946146183185
uce,.,0.9443224273965408,0.5584137191854222,0.6760937375263172,0.8153846153846154,0.6206896551724138,0.761810302455915
Elicitin,.,0.8632858660491542,0.49214005001786293,0.6560264303377802,0.9090909090909091,0.6909090909090909,0.7602064453314329
urease_gamma,.,0.8350979385750266,0.6364773133261874,0.4204058810800008,0.9365079365079365,0.7818181818181819,0.7596743853814965
Endonuclease_3,.,0.7575348842761139,0.8140407288317266,0.5833441447516431,0.8918918918918919,0.5614035087719298,0.7587023099753603
PARATHYROID,.,0.9162001503992743,0.3002858163629863,0.4198959222702898,0.9705882352941176,1.0,0.7581238140637118
RING,.,0.9441612853169725,0.6304037156127172,0.41164288712001795,0.8181818181818182,0.8,0.7569248419210868
P53,.,0.9333408930852143,0.15237584851732752,0.503548017374528,1.0,1.0,0.7498971472808632
ldh,.,0.6154016018716354,0.8292247231153975,0.6026222827147159,0.9384615384615385,0.6,0.7482455227826601
KH,.,0.9470737791995417,0.46891747052518673,0.5329989782530857,0.8676470588235294,0.7647058823529411,0.7462164392821472
GEL,.,0.9727192427515905,0.6170060735977122,0.6332764336891055,0.7794117647058824,0.5689655172413793,0.7415866767979379
MurB_C,.,0.8669205151771966,0.4437299035369765,0.5950927050894612,0.8135593220338984,0.8431372549019608,0.7374330827900363
PAH,.,0.9110018262769017,0.4321186137906389,0.47861652946812483,0.890625,0.8448275862068966,0.7349936418297078
neur_chan_memb,.,0.8871468302756125,0.18738835298320813,0.4826331321480589,1.0,1.0,0.7349837726651598
Phage_integrase,.,0.9133592752187355,0.6859592711682738,0.6484430028457825,0.7466666666666667,0.5625,0.7348722122085819
RNA_pol_H,.,0.9437375413299594,0.5952125759199698,0.5363803725924872,0.7,0.7777777777777778,0.7330973015529295
SIS,.,0.8176349117299497,0.573954983922828,0.6645767830644113,0.821917808219178,0.6666666666666666,0.729214230465271
MIF,.,0.8930732778686274,0.6162915326902455,0.6586181123798128,0.7903225806451613,0.5818181818181818,0.7270641116630766
kunitz,.,0.948732945796579,0.6095033940693092,0.32440755356997036,0.8392857142857143,0.813953488372093,0.7250937532709182
S4,.,0.9410995858051733,0.5350125044658793,0.3005986381643095,0.8333333333333334,0.9230769230769231,0.7238103587514507
cytc,.,0.9743545364479511,0.6948910325116104,0.49937439545735784,0.8,0.5636363636363636,0.7234086023814679
Rhodanese,.,0.8684066032443272,0.7884958913897818,0.5008257122480921,0.6933333333333334,0.6724137931034483,0.7193285782602671
CH,.,0.9515976938777946,0.49267595569846306,0.6928745736278167,0.8484848484848485,0.5357142857142857,0.71833983002292
cks,.,0.8515821764923547,0.4846373704894596,0.557399741995113,0.7884615384615384,0.8367346938775511,0.7171634311502141
Arch_histone,.,0.9314907432827625,0.21793497677741994,0.6373398120096578,0.8888888888888888,0.8333333333333334,0.7125970320429866
Peptidase_S21,.,0.8738973703999904,0.7088245802072157,0.7310076250439496,0.76,0.43478260869565216,0.7123760619927054
SRF-TF,.,0.8946966351146496,0.4553411932833144,0.46347707103257607,0.821917808219178,0.8656716417910447,0.7089340664082557
CARD,.,0.8794537880325148,0.6204001429081805,0.4656740112568516,0.8783783783783784,0.6545454545454545,0.7077015674108375
fbpase,.,0.6404144335557492,0.81600571632726,0.5336870503561136,0.875,0.6296296296296297,0.7059754456332609
hormone_rec,.,0.7145218854816954,0.5980707395498386,0.7442895631955483,0.7733333333333333,0.6470588235294118,0.697861631507418
zf-CCHH,.,0.9653484846676295,0.34833869239013904,0.41593442709729866,0.7857142857142857,0.96,0.6969609426564715
Zn_dep_PLPC,.,0.7371175859722835,0.6234369417649147,0.9456692002114322,0.68,0.48484848484848486,0.6949798567059484
FYVE,.,0.8850579514663929,0.5510896748838863,0.4651334117586329,0.8076923076923077,0.7619047619047619,0.6948896672140017
Ribosomal_L1,.,0.8188166203134511,0.5267952840300101,0.6609554081086753,0.8448275862068966,0.6181818181818182,0.6942849855940366
Ribosomal_S7,.,0.8668130871241511,0.4419435512683091,0.7472417592339874,0.7466666666666667,0.6615384615384615,0.691788372216052
DSBA,.,0.8422001265263735,0.5032154340836003,0.7160227277307006,0.8243243243243243,0.5774647887323944,0.6913348232324498
biotin_lipoyl,.,0.9182353151819711,0.8251161128974648,0.0894121300940752,0.7837837837837838,0.8461538461538461,0.6910903221291276
7kD_DNA_binding,.,0.9191663583083662,0.5682386566630929,0.3824140712331411,0.8032786885245902,0.7872340425531915,0.6899894115346084
ptpase,.,0.6708464136934957,0.7663451232583065,0.6758774519946588,0.6986301369863014,0.6481481481481481,0.6897642721273333
DMRL_synthase,.,0.8211322916791005,0.6189710610932465,0.6255444045743919,0.8055555555555556,0.5873015873015873,0.6891405480546433
DUF28,.,0.758018310514819,0.7147195426938172,0.4690569633551371,0.8133333333333334,0.703125,0.6890235741404976
dNK,.,0.7727001444310491,0.5677027509824931,0.7198981460068251,0.8656716417910447,0.5303030303030303,0.6881047729814561
Hint,.,0.796399966577939,0.7399071096820303,0.5758715610936314,0.6986301369863014,0.6451612903225806,0.6879627555077706
Mur_ligase,.,0.7255213244685295,0.5033940693104672,0.650719874679584,0.9259259259259259,0.6382978723404256,0.6823354700791615
dCMP_cyt_deam,.,0.9076775248576578,0.46445158985351875,0.5551367899517063,0.8787878787878788,0.6346153846153846,0.6808533073099262
Nitroreductase,.,0.7786146555737253,0.4442658092175772,0.5542137392104117,0.9333333333333333,0.7288135593220338,0.6801897645141398
ribonuclease_T2,.,0.7873819783472791,0.69435512683101,0.6639296128506132,0.7066666666666667,0.5833333333333334,0.6785289559767758
TyrKc,.,0.69898659536627,0.6246873883529822,0.6949526525618317,0.7361111111111112,0.6774193548387096,0.6768982390084527
MoCF_biosynth,.,0.8285328908889074,0.5773490532332961,0.5456312023277549,0.8309859154929577,0.6481481481481481,0.6761966788165422
SRP19,.,0.9457846425629945,0.6118256520185765,0.42579271134050467,0.68,0.7627118644067796,0.6740907607383708
Peptidase_S24,.,0.830944053857264,0.6466595212575907,0.42640023730527266,0.7719298245614035,0.75,0.6740065520067836
PAN,.,0.9122372488869259,0.744194355126831,0.48615465333019264,0.64,0.6415094339622641,0.673152564171048
Ala_racemase_N,.,0.7504028551989209,0.7295462665237575,0.6140373111549627,0.8266666666666667,0.5,0.6715529894243332
P,.,0.912810198503169,0.3456591639871374,0.4174543424443935,0.8333333333333334,0.9074074074074074,0.6696996909668668
TFIIS,.,0.8899936736813205,0.37084673097534765,0.3162776599740486,0.9,0.9302325581395349,0.6653720921852244
Clp_N,.,0.9009931126681547,0.45176848874597964,0.5816911767879406,0.8571428571428571,0.6129032258064516,0.6640470422854168
gln-synt_N,.,0.8590722990796997,0.5632368703108243,0.4823347284278906,0.84375,0.6491228070175439,0.6608028351030971
cat,.,0.44187545507716913,0.6271882815291165,0.7825099348573817,0.8,0.7450980392156863,0.6604102148310732
transketolase_C,.,0.8640020530694582,0.5893176134333677,0.5761598751094683,0.7887323943661971,0.5740740740740741,0.6583724315403294
Egg_lysin,.,0.8039915489931604,0.44587352625937743,0.673669778954586,0.8939393939393939,0.5692307692307692,0.6557792646584006
SRP54,.,0.639029805316495,0.6968560200071447,0.5689556547204854,0.8571428571428571,0.6206896551724138,0.6539062787605825
Ribosomal_L5_NC,.,0.8276555617890351,0.6491604144337253,0.45726254202411876,0.7972972972972973,0.6507936507936508,0.6536718544840556
PBD,.,0.9419769149050455,0.351732761700607,0.4665911453726601,0.7916666666666666,0.8260869565217391,0.6517598403961992
DHHA2,.,0.8700956109672104,0.681314755269738,0.43205250110479404,0.8135593220338984,0.574468085106383,0.6487098471392142
DAP_epimerase,.,0.8927808348353367,0.5466237942122172,0.5846451449557524,0.7586206896551724,0.5882352941176471,0.6484382557840808
WW,.,0.9304940496795062,0.22901036084315807,0.32499376396248586,0.9117647058823529,0.96875,0.6457001739723991
ATP-synt_g,.,0.6438222901273619,0.4535548410146473,0.7988526834283237,0.7808219178082192,0.684931506849315,0.6442924736716562
annexin,.,0.6576327631688887,0.5537692032868871,0.6799163920795078,0.8133333333333334,0.65625,0.6437899407072843
Ribosomal_L4,.,0.8286641918426298,0.5217934976777414,0.5391803941667332,0.7971014492753623,0.6724137931034483,0.6429775754954203
RuvA,.,0.8794179786814996,0.46927474097891936,0.5722083410185154,0.7808219178082192,0.6567164179104478,0.6426458533664704
DUF101,.,0.7897334590639437,0.6002143622722382,0.44765588586046273,0.84,0.6721311475409836,0.6386013525996084
cytochrome_b,.,0.45665874882127555,0.7674169346195062,0.6907297254322774,0.7534246575342466,0.6785714285714286,0.6372383887288185
dutpase,.,0.7754335915585423,0.6296891747052512,0.3566054864725219,0.8615384615384616,0.7169811320754716,0.634193284467265
Dala_Dala_ligas_C,.,0.7670243622951407,0.5752054305108965,0.5196175721947642,0.8513513513513513,0.6268656716417911,0.6341080419017461
ENTH,.,0.6606765580051804,0.5821722043586988,0.619715042168533,0.9272727272727272,0.5471698113207547,0.6326871440191154
Propep_M14,.,0.9287393914797618,0.36513040371561195,0.6191875764355841,0.8135593220338984,0.603448275862069,0.6294618862237277
SCP2,.,0.8798655955691895,0.5219721329046079,0.5439243559145776,0.8125,0.5714285714285714,0.6292879641326865
Amino_oxidase_D2,.,0.9148393950606968,0.4414076455877095,0.5805647884925007,0.7666666666666667,0.6226415094339622,0.6276288878074103
EF_TS,.,0.8963438652613486,0.3706680957484806,0.5826204871475031,0.8493150684931506,0.6268656716417911,0.6274863275859706
hormone,.,0.8019086384091099,0.5176848874598061,0.492591141542574,0.8356164383561644,0.676056338028169,0.6265776054010849
hip,.,0.9272712080881387,0.5743122543765612,0.443347010456335,0.6933333333333334,0.6851851851851852,0.62638782104107
LMWPc,.,0.8523341728636737,0.5859235441228996,0.638120120588259,0.7638888888888888,0.4827586206896552,0.6261909778634219
Aldolase_II,.,0.7669109660169259,0.4521257591997139,0.6505598399641412,0.8571428571428571,0.5925925925925926,0.6244748984132997
GLUCAGON,.,0.9168805280685628,0.21936405859235428,0.42347448029376417,0.7586206896551724,1.0,0.6240138529455618
PGAM,.,0.8067309643458228,0.7234726688102879,0.46089719365878373,0.76,0.5666666666666667,0.6237479551244428
hexapep,.,0.7482841352638552,0.7809932118613789,0.3494376733381907,0.7936507936507936,0.6428571428571429,0.6225656550943176
Flavoprotein,.,0.8269990570204233,0.5284030010718106,0.6427724175151664,0.7586206896551724,0.5576923076923077,0.6222239178972461
Cu_nir,.,0.5844861954951835,0.8976420150053588,0.46602076266788817,0.765625,0.6,0.621892395509718
HMG-CoA_red,.,0.5426549052842665,0.5968202929617711,0.6663795245428342,0.7605633802816901,0.746031746031746,0.6212771510764035
Mur_ligase_C,.,0.8974778280434964,0.5961057520543043,0.3262385133503795,0.855072463768116,0.6346153846153846,0.619911144952815
GATA,.,0.906728577055755,0.3315469810646653,0.4105839969457636,0.803921568627451,0.851063829787234,0.6172789501027998
MBD,.,0.9298375449108944,0.36834583779921354,0.3958081680243893,0.8043478260869565,0.8048780487804879,0.616987373924904
Ribosomal_L14,.,0.8068980746505603,0.6709539121114672,0.5425192288184594,0.6933333333333334,0.5873015873015873,0.6159599147008629
gluts,.,0.7866240137507907,0.5653804930332256,0.6770955622764991,0.6901408450704225,0.5806451612903226,0.6154394867544161
TIR,.,0.8800267376487579,0.4049660593068943,0.5504693441769358,0.8392857142857143,0.6226415094339622,0.6142794086934
toxin,.,0.9232665289996062,0.16059306895319753,0.3966064980154009,0.8360655737704918,0.9795918367346939,0.6136912369798174
HIT,.,0.8632560249233082,0.5759199714183626,0.4508262395994942,0.8028169014084507,0.6,0.6121558863574458
parv,.,0.9423111355145207,0.29242586638084905,0.6776935701915721,0.7466666666666667,0.6290322580645161,0.6099768796426933
Ald_Xan_dh_1,.,0.8406543562075509,0.6813147552697387,0.5606259606834806,0.6621621621621622,0.5384615384615384,0.6076951481172655
mutT,.,0.8601585160604939,0.5916398713826347,0.5074397563905201,0.7323943661971831,0.5901639344262295,0.6070342738018045
Bac_rhodopsin,.,0.683379686548814,0.4812433011789917,0.6788846697918454,0.7714285714285715,0.6610169491525424,0.6043192433978841
DUF50,.,0.867171180634303,0.51089674883887,0.49339357315560134,0.8125,0.5918367346938775,0.6042472513137082
UreE,.,0.8010969597860989,0.7500893176134329,0.40356260600084737,0.7575757575757576,0.5625,0.6037948769873033
formyl_transf,.,0.8320660801890734,0.5805644873168977,0.5777571067461278,0.765625,0.5178571428571429,0.6033512251544176
Fz,.,0.8559747902168853,0.512147195426937,0.5498394093504234,0.84375,0.5081967213114754,0.6015104502389966
cat3,.,0.6768325435382025,0.27759914255091067,0.517917271227173,0.8461538461538461,0.9487179487179487,0.6002617864196695
fkbp,.,0.8381715745371641,0.5998570918185056,0.237121723264906,0.8225806451612904,0.7692307692307693,0.6001414680691948
PX,.,0.875622187473889,0.5010718113611992,0.5301332449783928,0.7066666666666667,0.6515151515151515,0.5992341409639758
planttoxin,.,0.9095873569118016,0.20971775634154996,0.2780844883543804,0.8936170212765957,0.972972972972973,0.5987558071530482
ATP-gua_Ptrans,.,0.5881327810735644,0.8227938549481951,0.5470231527845054,0.7466666666666667,0.5576923076923077,0.5979794671263915
PCI_1,.,0.8954068539097843,0.4222936763129682,0.22546397741175303,0.8113207547169812,0.9047619047619048,0.5965569192125293
tRNA-synt_2d,.,0.7212301705718753,0.5284030010718098,0.5873060543742455,0.7323943661971831,0.6811594202898551,0.5924893661568864
IF4E,.,0.8183690034257611,0.46302250803858436,0.5029598419192001,0.75,0.7142857142857143,0.5916270151446793
thionin,.,0.9106317963164113,0.2709896391568415,0.2560495575193036,0.8666666666666667,0.9393939393939394,0.5893477255100674
sh2,.,0.9082624109242393,0.4210432297249015,0.427455225936634,0.7804878048780488,0.7027027027027027,0.5875912720343817
Ribosomal_S5_N,.,0.8964333886388866,0.37120400142908133,0.37901798536958575,0.7631578947368421,0.8285714285714286,0.5868633279118795
DNA_ligase_N,.,0.640951573820977,0.5978921043229707,0.627517727796298,0.75,0.6212121212121212,0.5864864230431394
SAP,.,0.9791947670601715,0.2565201857806355,0.34963463694314084,0.7878787878787878,0.8620689655172413,0.5854288110307594
Hpr_kinase,.,0.8331105195936833,0.5793140407288303,0.5486619437132267,0.7123287671232876,0.5606060606060606,0.5848359217842443
subt,.,0.7191054824116404,0.572168631654161,0.5963852448049527,0.8356164383561644,0.5081967213114754,0.5836516346094974
voltage_CLC,.,0.4400551464005633,0.4939264022865299,0.7092234389033675,0.847457627118644,0.7368421052631579,0.5818080264138742
rnasemam,.,0.7874655334996478,0.6538049303322606,0.3105021438620913,0.8260869565217391,0.6491228070175439,0.5815653209437989
Plectin,.,0.7342110603148835,0.6532690246516606,0.48822737300199204,0.75,0.6,0.580972941944608
Pro_CA,.,0.7081358845506524,0.2713469096105747,0.3808417351558941,0.8648648648648649,1.0,0.5807322274459205
Ribosomal_L22,.,0.778029769507144,0.4274740978921037,0.4848823501888275,0.8813559322033898,0.6530612244897959,0.5805528661601118
DNA_PPF,.,0.8667534048724591,0.5046445158985344,0.5121660540101015,0.7534246575342466,0.5873015873015873,0.5803144326486781
NTP_transf_2,.,0.6114327321341179,0.4299749910682377,0.6453691872834626,0.84,0.696969696969697,0.5800618472869671
GAL4,.,0.9150781240674647,0.20364415862808136,0.24185288888100007,0.9393939393939394,0.9230769230769231,0.5797363310453296
Trypan_glycop,.,0.6741528104372321,0.7109682029296169,0.6159060501611509,0.8461538461538461,0.375,0.5793343574209127
ACPS,.,0.8436265323418123,0.3006430868167197,0.5824503341449971,0.7692307692307693,0.7258064516129032,0.5791374718453405
Isochorismatase,.,0.7375950439858194,0.4337263308324396,0.5720810049482711,0.8421052631578947,0.6346153846153846,0.5783781777360186
DEFSN,.,0.8820022201797628,0.30171489817792024,0.26344465785741156,0.9,0.8695652173913043,0.5768002357392416
int,.,0.8244625613235136,0.5314397999285451,0.6255578670410776,0.8545454545454545,0.3695652173913043,0.5716166396374573
Levi_coat,.,0.8544290198980626,0.320292961772061,0.4129483748130225,0.8301886792452831,0.7843137254901961,0.5700377195318551
Ribosomal_L6_D,.,0.9278202848037052,0.296534476598785,0.5421393643126129,0.6578947368421053,0.7777777777777778,0.5700348755086383
Hydrolase,.,0.7555653699702782,0.6032511611289738,0.4836953665019358,0.8135593220338984,0.5434782608695652,0.5688188315910748
Spermine_synth,.,0.6649856165773422,0.43729903536977416,0.5432347117612997,0.8135593220338984,0.7368421052631579,0.5671327879100363
PDZ,.,0.9233202430261288,0.40978921043229666,0.45949722574575846,0.803921568627451,0.5909090909090909,0.563191014692018
PTS_EIIA_2,.,0.8628680902873104,0.3785280457306173,0.5651891652353149,0.8421052631578947,0.5384615384615384,0.5630584819600114
phycoerythr_ab,.,0.8928166441863519,0.24080028581636273,0.3620712193642063,0.7111111111111111,0.9777777777777777,0.5618619972713891
Fapy_DNA_glyco,.,0.6472480513744823,0.6927474097892093,0.5725777728272486,0.7333333333333333,0.5373134328358209,0.561231459578173
B_lectin,.,0.8196342671616315,0.6923901393354759,0.3236451663642185,0.7611940298507462,0.5862068965517241,0.5611619950947637
lipocalin,.,0.8978776991298326,0.4776705966416571,0.5411594053522709,0.7659574468085106,0.5,0.5609736516029126
zf-CCHC,.,0.9102498299055826,0.14612361557699174,0.3010495521957698,0.8235294117647058,1.0,0.5601778403581984
MIP,.,0.6995058309559903,0.4289031797070374,0.6727266917182878,0.8,0.5797101449275363,0.56012832705235
ricin,.,0.759546176158134,0.7936763129689147,0.5461887656773069,0.6533333333333333,0.4262295081967213,0.5592586318349309
START,.,0.7414385809947838,0.38352983208288655,0.5357303726882394,0.85,0.6666666666666666,0.5585111873687284
NHase_alpha,.,0.7277355360063025,0.3170775276884596,0.38711675951624186,0.8,0.9444444444444444,0.5580506407083996
MutS_D2,.,0.8777826849851391,0.4178277956412996,0.5688893141999384,0.7887323943661971,0.5230769230769231,0.5580203667412292
PGM_PMM_III,.,0.8595855664442508,0.43604858878170705,0.5545289781596202,0.8260869565217391,0.5,0.5579929424380983
END,.,0.9097365625410315,0.27098963915684154,0.28341868351424343,0.8095238095238095,0.9,0.5567935163042358
ADP_PFK_GK,.,0.4456951191854566,0.7477670596641648,0.5642475643010711,0.8266666666666667,0.5882352941176471,0.5563023933626866
phoslip,.,0.8831242465115724,0.37513397642014945,0.56704527067404,0.7931034482758621,0.5535714285714286,0.5560081196543739
cryst,.,0.7733089033983074,0.7391925687745615,0.41020276046878995,0.6486486486486487,0.6,0.555717490750842
tcl1_mtcp1,.,0.8186614464590519,0.5453733476241509,0.3612248418010105,0.7666666666666667,0.6792452830188679,0.5556332530379934
GBP_PSP,.,0.8919631879871563,0.0,0.31592259813373624,0.9565217391304348,1.0,0.5524903825442198
pot,.,0.959195244518185,0.2988567345480522,0.37376266425817134,0.7936507936507936,0.7346938775510204,0.5505164829172599
TPK_B1_binding,.,0.8717965551404324,0.4862450875312605,0.47390045017516785,0.7407407407407407,0.5869565217391305,0.5502748877289975
blmb,.,0.8598063907755111,0.4892818863879943,0.6046363077467292,0.7586206896551724,0.44680851063829785,0.5500492711702327
ghf22,.,0.8806235601656779,0.40317970703822725,0.5209566160149218,0.8524590163934426,0.5,0.5491502409209624
Heme_oxygenase,.,0.8225049834680163,0.31689889246159286,0.7056174986228125,0.8260869565217391,0.4852941176470588,0.5487708830657245
tryp_alpha_amyl,.,0.9016854267877817,0.3888888888888883,0.38705670719669455,0.8163265306122449,0.6595744680851063,0.5474371603649855
KAS,.,0.5995380593719039,0.6505894962486596,0.5796658044113959,0.7887323943661971,0.5344827586206896,0.5471939159964471
ngf,.,0.7881518793941057,0.5643086816720244,0.25857668903436926,0.7419354838709677,0.8,0.547177291527266
PAP2,.,0.31398235792639984,0.5155412647374057,0.6817244213633169,0.859375,0.7796610169491526,0.5459280195476857
Ribosomal_S8,.,0.7987275743939266,0.508395855662736,0.3611037582033512,0.8448275862068966,0.6363636363636364,0.5455258016234115
rasgap,.,0.6867577019945807,0.4403358342265083,0.676644469602965,0.828125,0.5166666666666667,0.5451128559408726
RNA_dep_RNA_pol,.,0.45523234300583687,0.7188281529117534,0.6490644200182135,0.7285714285714285,0.5964912280701754,0.5449539017516933
Dehydratase_MU,.,0.7829893646227484,0.4130046445158979,0.7211590446381954,0.7746478873239436,0.45588235294117646,0.5447195924677591
tRNA-synt_2b,.,0.656982226625446,0.551625580564486,0.44646031306266,0.76,0.7272727272727273,0.5422372642904079
VAT-N,.,0.7730403332656935,0.4678456591639864,0.4233326384871229,0.8032786885245902,0.6666666666666666,0.5384379462373154
