,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores
dsrm,.,0.9236567277130315,0.600946178422217,0.39572042224302834,0.5735294117647058,0.8809523809523809,0.2789429456511298,0.7260517262043494
Ribosomal_S30AE,.,0.9013046768578779,0.626198083067093,0.5844827228047311,0.39361702127659576,0.5846153846153846,0.5578858913022596,0.7241603517622627
Orbi_VP7,.,0.785796882094748,0.621835831899729,0.6324724811981376,0.44565217391304346,0.6037735849056604,0.5578858913022596,0.7239301631474251
hip,.,0.9382170425306492,0.5565863848611446,0.5568576265254734,0.4634146341463415,0.8431372549019608,0.2789429456511298,0.720491763955822
DAP_epimerase,.,0.9437626759497502,0.6728311624477764,0.48197269159077577,0.4175824175824176,0.38596491228070173,0.7210570543488701,0.7158054636284272
NHase_alpha,.,0.7608778568185257,0.473396411894815,0.6536492573010131,0.7848101265822784,0.6617647058823529,0.2789429456511298,0.71254511623703
sh2,.,0.9582745572877251,0.5603342344556416,0.5172392438494238,0.4880952380952381,0.44,0.647685462377997,0.7119377330513875
E2_N,.,0.7743786892689571,0.5788277217989682,0.6455295670478001,0.6086956521739131,0.559322033898305,0.44211410869774026,0.7110125470431256
SRP19,.,0.9581595277735735,0.4723519292209391,0.6026673382531303,0.4861111111111111,0.6451612903225806,0.44211410869774026,0.7102410008172435
Dehydratase_MU,.,0.7852217345239897,0.7334111575325638,0.397177478421581,0.5806451612903226,0.32608695652173914,0.783091851446946,0.7099290385309586
cytc,.,0.8883245043136068,0.43284590808552476,0.6118957376221511,0.52,0.5882352941176471,0.5578858913022596,0.7077686771714561
PAH,.,0.8348055093083093,0.47069304497419484,0.5836049693861207,0.47540983606557374,0.78,0.44211410869774026,0.7035599237533283
SRF-TF,.,0.8295141516573331,0.4639960678299336,0.5396584433130823,0.42424242424242425,0.7692307692307693,0.5578858913022596,0.7028563169934899
IF4E,.,0.7939155441198728,0.7055173261243546,0.5263147648112989,0.5274725274725275,0.5737704918032787,0.44211410869774026,0.6976881461138962
HSP20,.,0.833225367034963,0.525989186532317,0.6252367777899596,0.3978494623655914,0.7424242424242424,0.44211410869774026,0.6969289479257188
lacI,.,0.9844770697744815,0.5390144998771192,0.5257008737828709,0.6551724137931034,0.8571428571428571,0.0,0.6951424102007543
PK,.,0.48995913425155135,0.8190587367903648,0.7183141851896194,0.46808510638297873,0.41818181818181815,0.647685462377997,0.6950675930542768
aspg,.,0.8609353715756016,0.6267510444826729,0.4358805476607277,0.3804347826086957,0.5333333333333333,0.7210570543488701,0.6940983936134624
Cys-protease-3C,.,0.7199636748902679,0.732858196116982,0.6164663758033926,0.3723404255319149,0.4666666666666667,0.647685462377997,0.6932903671900557
DHHA2,.,0.8791463599212955,0.6900958466453669,0.5780415348278858,0.5698924731182796,0.5555555555555556,0.2789429456511298,0.6918474177735237
Phage_integrase,.,0.8390434387770546,0.4166871467190961,0.6533571850321747,0.5543478260869565,0.44047619047619047,0.647685462377997,0.6918214591909672
RhoGEF,.,0.6954866051157863,0.6948881789137382,0.8429253081708173,0.5789473684210527,0.45901639344262296,0.2789429456511298,0.6913555259010741
Jacalin,.,0.7711820796125322,0.5135168346030956,0.6028107650462555,0.39361702127659576,0.546875,0.7210570543488701,0.6909708213823399
Peptidase_C15,.,0.8005812017557136,0.6562423199803394,0.5854787373693204,0.4375,0.42105263157894735,0.647685462377997,0.6907971073253791
COX3,.,0.6133010443469048,0.5828827721798966,0.7022300894828658,0.6231884057971014,0.7457627118644068,0.2789429456511298,0.6900490458459515
PGAM,.,0.7974390797638868,0.7777095109363477,0.6250136211239631,0.425531914893617,0.36065573770491804,0.5578858913022596,0.6893546566414834
dutpase,.,0.7881761767822008,0.5400589825509946,0.5824773570422722,0.44086021505376344,0.6268656716417911,0.5578858913022596,0.6867035624872321
Fapy_DNA_glyco,.,0.6806175268654457,0.8028999754239361,0.5917278778269296,0.5319148936170213,0.3709677419354839,0.5578858913022596,0.686599553102498
Elicitin,.,0.7922688058120175,0.46184566232489593,0.6333816046976377,0.48214285714285715,0.6046511627906976,0.5578858913022596,0.6853134828666444
protg,.,0.8847585893749055,0.361636765790121,0.48455498271333136,0.625,0.8947368421052632,0.2789429456511298,0.6844603774647262
DUF101,.,0.8042803087634327,0.7331653969034154,0.576704740290304,0.39361702127659576,0.46153846153846156,0.5578858913022596,0.6836433125345233
Ribosomal_L30,.,0.8817375510821854,0.5234086999262719,0.5290122148629617,0.45,0.8571428571428571,0.2789429456511298,0.6813152201495499
ATP-synt_DE_N,.,0.8261540790071137,0.5915458343573361,0.7742222216810255,0.35555555555555557,0.6923076923076923,0.2789429456511298,0.6808072356226256
biotin_lipoyl,.,0.9263387316482519,0.46491767018923547,0.17974480301480975,0.425,0.9574468085106383,0.5578858913022596,0.6783293983319281
Ribosomal_L14,.,0.7907068260935373,0.4466699434750558,0.5604079832680918,0.33766233766233766,0.4909090909090909,0.8842282173954805,0.6780782423798309
TIR,.,0.8719782049341607,0.4787417055787666,0.5738293041697115,0.5568181818181818,0.4647887323943662,0.5578858913022596,0.6758859215295361
RRF,.,0.7315816558195852,0.6096092405996556,0.7227345253123284,0.4418604651162791,0.5555555555555556,0.44211410869774026,0.6756893984443895
WD40,.,0.5839261389435447,0.7310149913983782,0.5436917891292146,0.45161290322580644,0.6296296296296297,0.5578858913022596,0.6737812958231624
intb,.,0.8354472529135765,0.6502211845662313,0.4468440575158546,0.3723404255319149,0.4666666666666667,0.7210570543488701,0.6720439261034692
il8,.,0.9117965793855002,0.4474686655197843,0.5945655654768027,0.5333333333333333,0.5609756097560976,0.44211410869774026,0.6712655734646975
MIF,.,0.8522597245345844,0.6716023593020396,0.5432637701789603,0.3076923076923077,0.46153846153846156,0.647685462377997,0.6691840358380035
ghf22,.,0.8353322233994248,0.6300073728188743,0.4810953730623811,0.34523809523809523,0.4067796610169492,0.783091851446946,0.6683471322286952
UreE,.,0.8545360980777962,0.4217252396166142,0.4651823341737877,0.34831460674157305,0.5522388059701493,0.8368288369533894,0.6674361233456568
tRNA-synt_2d,.,0.76475253518995,0.6543991152617351,0.7180896658676139,0.42391304347826086,0.47540983606557374,0.44211410869774026,0.6673866575800674
GTP_cyclohydroI,.,0.705433630997427,0.5461415581223888,0.5871129968144146,0.6753246753246753,0.6851851851851852,0.2789429456511298,0.6672066066547865
CASc,.,0.8149538368397155,0.6948881789137379,0.51405999342417,0.5376344086021505,0.4666666666666667,0.44211410869774026,0.6645848877660689
gln-synt_N,.,0.863895868018768,0.4994470385844206,0.5358610979206493,0.43902439024390244,0.8490566037735849,0.2789429456511298,0.6632145993314481
Recep_L_domain,.,0.9141213864083547,0.511857950356353,0.4245864052709738,0.3793103448275862,0.4528301886792453,0.783091851446946,0.6630705695721404
YgbB,.,0.8343696079915242,0.5681985745883514,0.5491458922872322,0.5116279069767442,0.4426229508196721,0.5578858913022596,0.6624180373239098
Nitroreductase,.,0.7669623126986529,0.6827844679282369,0.8561589594480385,0.3655913978494624,0.5125,0.2789429456511298,0.6621128524260343
TPK_B1_binding,.,0.8779839564098684,0.5442369132464988,0.5351048528282948,0.34444444444444444,0.7142857142857143,0.44211410869774026,0.6605144160736444
fkbp,.,0.8756773119418798,0.6507741459818126,0.3056358350813383,0.33707865168539325,0.7307692307692307,0.5578858913022596,0.6603974935376122
Ribosomal_L12,.,0.9771212350537309,0.6480093389039069,0.4970155731431924,0.5189873417721519,0.5319148936170213,0.2789429456511298,0.6584439750545793
biopterin_H,.,0.626384138035417,0.5250061440157282,0.6933078238329898,0.6363636363636364,0.5277777777777778,0.44211410869774026,0.6580962467730122
kunitz,.,0.9320296655062812,0.33171540919144793,0.37866694174922444,0.47368421052631576,0.8918918918918919,0.44211410869774026,0.6578109461769677
formyl_transf,.,0.792450431360678,0.5949250430081093,0.6526909042291,0.6666666666666666,0.4626865671641791,0.2789429456511298,0.6572279909691012
Plectin,.,0.7761828363856517,0.6368886704349962,0.6669339356968718,0.48314606741573035,0.4393939393939394,0.44211410869774026,0.6559871327556306
pot,.,0.8693749054033599,0.31678545097075494,0.4634247688562128,0.5882352941176471,0.926829268292683,0.2789429456511298,0.6556296112059047
Fimbrial,.,0.8596155592553352,0.5267264684197589,0.4765151672963949,0.3888888888888889,0.4603174603174603,0.7210570543488701,0.652120480728662
VAT-N,.,0.81822915090056,0.394630130253134,0.5074241195941135,0.3978494623655914,0.5316455696202531,0.783091851446946,0.652036601547535
Hydrolase,.,0.7826729226577871,0.6679159498648313,0.460873238968245,0.4946236559139785,0.375,0.647685462377997,0.6506630273532418
Ald_Xan_dh_1,.,0.7765158165581958,0.7146719095600876,0.6276247019787954,0.26666666666666666,0.4772727272727273,0.5578858913022596,0.6479375235632481
MMOB,.,0.9348872408052066,0.5160973212091425,0.4290824452838889,0.5227272727272727,0.5714285714285714,0.44211410869774026,0.6464963610363994
SCP,.,0.8521023157257455,0.5015360039321712,0.19682078250861984,0.648936170212766,0.6451612903225806,0.5578858913022596,0.6418403762079637
SAP,.,0.8956137429998485,0.3453551241091177,0.3573334602053056,0.6363636363636364,0.8857142857142857,0.2789429456511298,0.6407951269387075
Ribosomal_S8,.,0.8100983805055243,0.420373556156304,0.31026938013227534,0.4578313253012048,0.5161290322580645,0.8842282173954805,0.6406633328214814
aakinase,.,0.7253276827607084,0.7368518063406223,0.6718048800683682,0.43617021276595747,0.38333333333333336,0.44211410869774026,0.6395481796998144
KSI,.,0.8110973210231572,0.5156057999508482,0.5726391256201697,0.5595238095238095,0.4925373134328358,0.44211410869774026,0.6388496580586116
rnasemam,.,0.8124474042682003,0.5802408454165647,0.36563158591400446,0.3763440860215054,0.5357142857142857,0.7210570543488701,0.6381519169058337
OMPdecase,.,0.7465354926593006,0.7234578520521009,0.37838287146035426,0.6888888888888889,0.4098360655737705,0.44211410869774026,0.6374080110744875
CUB,.,0.8438565158165582,0.625030720078642,0.642747168440678,0.3617021276595745,0.47058823529411764,0.44211410869774026,0.6363436129861064
Cytidylyl_trans,.,0.7735916452247616,0.5874907839764063,0.7937011283965959,0.3763440860215054,0.4090909090909091,0.44211410869774026,0.6351016776003383
ANATO,.,0.9075707582866657,0.5207667731629394,0.27367437598001604,0.5,0.8936170212765957,0.2789429456511298,0.6325010737084019
Me-amine-deh_L,.,0.7749962161344028,0.6153846153846139,0.24846319582815035,0.3870967741935484,0.46153846153846156,0.8842282173954805,0.6315412285495519
IF3,.,0.9196185863478128,0.706623248955517,0.4259819389803509,0.46987951807228917,0.40384615384615385,0.44211410869774026,0.6303201659214985
annexin,.,0.5921537762978658,0.5740353895305973,0.5789274351898696,0.6842105263157895,0.49122807017543857,0.44211410869774026,0.6285125781017921
RING,.,0.9294445285303466,0.2547308921110836,0.3454468523784153,0.6271186440677966,0.926829268292683,0.2789429456511298,0.628460244521772
GATA,.,0.909738156500681,0.29061194396657636,0.44659060349816704,0.3230769230769231,0.9444444444444444,0.44211410869774026,0.626470799716995
Levi_coat,.,0.8303859542909034,0.46958712214303233,0.557621090795408,0.36486486486486486,0.6875,0.44211410869774026,0.6249618520170281
DUF28,.,0.7675798395640986,0.4736421725239618,0.6616584274540859,0.48717948717948717,0.515625,0.44211410869774026,0.6235296190496715
S4,.,0.9352262751627062,0.3146964856230033,0.34253165279577075,0.5625,0.9117647058823529,0.2789429456511298,0.6228135301717795
Fe-ADH,.,0.5664598153473588,0.6201769476529857,0.648811422571269,0.6835443037974683,0.543859649122807,0.2789429456511298,0.6215177227104809
Trypan_glycop,.,0.6347510216437111,0.6640452199557622,0.6325977875656102,0.6382978723404256,0.3287671232876712,0.44211410869774026,0.6211082526914103
hormone_rec,.,0.6557772059936431,0.79706316048169,0.8334180861881956,0.5813953488372093,0.47058823529411764,0.0,0.6203271129563859
DNA_ligase_N,.,0.653149689723021,0.541349225854018,0.7189262206864606,0.5764705882352941,0.5692307692307692,0.2789429456511298,0.6202692763601637
tyrosinase,.,0.6498259421825336,0.51038338658147,0.636015589770495,0.5833333333333334,0.4,0.5578858913022596,0.6200597424883663
lyase_1,.,0.44652641138186766,0.7028753993610232,0.7036612262045651,0.6292134831460674,0.4027777777777778,0.44211410869774026,0.6166163906191467
Ribosomal_L5_NC,.,0.7722415619797185,0.5911157532563289,0.5312908946296233,0.5897435897435898,0.5625,0.2789429456511298,0.6161694868750803
CH,.,0.8615771151808688,0.46098550012287987,0.6958163865676503,0.5254237288135594,0.5,0.2789429456511298,0.6151343541476069
voltage_CLC,.,0.42833963977599515,0.5455885967068073,0.614158761341049,0.6666666666666666,0.6206896551724138,0.44211410869774026,0.6133957962166555
ghf33,.,0.591863175420009,0.5720078643401326,0.5411116434650562,0.3829787234042553,0.44642857142857145,0.783091851446946,0.6133704633893171
Ribosomal_L6_D,.,0.9133403965491145,0.6062914721061692,0.7313211137010757,0.4931506849315068,0.5714285714285714,0.0,0.6127171645216501
C1,.,0.8599485394278795,0.3148193659375773,0.37852789285093685,0.48,1.0,0.2789429456511298,0.6116135296111258
Binary_toxA,.,0.7686272135613742,0.5485991644138616,0.42011708201364084,0.6021505376344086,0.5285714285714286,0.44211410869774026,0.6109234981955002
icd,.,0.5995217193885274,0.6599901695748345,0.7966189518168749,0.41935483870967744,0.3918918918918919,0.44211410869774026,0.6106930012250412
neur_chan_memb,.,0.8363795973967004,0.1454288522978617,0.36926187547826145,0.9565217391304348,1.0,0.0,0.6100564487531326
Ribosomal_L4,.,0.8646829120629635,0.45699188989923895,0.49832247622661763,0.6571428571428571,0.5416666666666666,0.2789429456511298,0.6067583339061837
Propep_M14,.,0.9536854850915695,0.647210616859179,0.739771088576743,0.39473684210526316,0.5573770491803278,0.0,0.6050933569357234
transketolase_C,.,0.8698410776449221,0.5092774637503074,0.3910645600758576,0.4444444444444444,0.5192307692307693,0.5578858913022596,0.604745904790618
sugbp,.,0.7382109883456939,0.7217989678053572,0.6610977669880549,0.5053763440860215,0.38095238095238093,0.2789429456511298,0.6029481808628819
phero,.,0.855740880883911,0.2543622511673629,0.2340742768134498,0.7368421052631579,0.9259259259259259,0.2789429456511298,0.6027836463086996
PABP,.,0.8660329953080066,0.4964979110346524,0.42431342468260297,0.5245901639344263,0.9722222222222222,0.0,0.6020358244951804
HLH,.,0.8715967912819736,0.2968788400098304,0.4842249010396442,0.4482758620689655,0.9019607843137255,0.2789429456511298,0.6014404964487805
ATP-synt_g,.,0.5744816104131981,0.7245637748832631,0.8618838542470081,0.527027027027027,0.581081081081081,0.0,0.5971369412955141
EFTU_C,.,0.761816255486605,0.6383632342098764,0.40474585834839977,0.44680851063829785,0.5740740740740741,0.44211410869774026,0.5967632073408731
SIS,.,0.7768790676555168,0.64143524207422,0.5889837205661047,0.6538461538461539,0.6037735849056604,0.0,0.5957564895345414
GGL,.,0.8861571060995913,0.4195748341115749,0.5020819571776072,0.4852941176470588,0.9696969696969697,0.0,0.59504850527003
Ribosomal_S5_N,.,0.8895716664144089,0.4525681985745883,0.33373962226914494,0.6052631578947368,0.7021276595744681,0.2789429456511298,0.5948502178212414
B_lectin,.,0.8454124413500831,0.5366797739002215,0.4696928705272248,0.4,0.45,0.5578858913022596,0.5939983137821471
GAL4,.,0.8639745724231874,0.15562791840747095,0.2629047039421798,0.696969696969697,1.0,0.2789429456511298,0.5935790626526045
UPP_synthetase,.,0.7586922960496443,0.4015114278692552,0.49804823445662144,0.5753424657534246,0.4666666666666667,0.5578858913022596,0.5934876301033607
cat3,.,0.6899530800665961,0.43395183091668715,0.6030780195801202,0.46153846153846156,0.7894736842105263,0.2789429456511298,0.593082513146781
RNA_dep_RNA_pol,.,0.48101710307249884,0.6228803145736049,0.7305832499685031,0.36904761904761907,0.4915254237288136,0.5578858913022596,0.5917426609837755
